"lang"
{
	"Language"		"English"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_golem.kv' begin 
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball"                                               "Golem Fireball"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_Description"                                   "Golem launch a fireball to selected unit."
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_fireball_speed"                                "FIREBALL SPEED:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_fireball_damage"                               "FIREBALL DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist"                                              "Golem Firefist"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist_Description"                                  "Deals additional magical damage with every attack."
"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist_hit_damage"                                   "DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close"                                             "Golem Firehell"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_Description"                                 "Deals damage to all arounding enemies for every second."
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_radius"                                      "RADIUS:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_duration"                                    "DURATION:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_tickrate"                                    "INTERVAL:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_TotalDmg"                                    "DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far"                                               "Golem Firebreath"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_Description"                                   "Launch fire wave that deal damage to all enemies on contact."
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_contact_damage"                                "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_wave_speed"                                    "WAVE SPEED:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_wave_width"                                    "WAVE WIDTH"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_distance"                                      "WAVE RANGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain"                                            "Golem Hellrain"
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_Description"                                "Abyss Golem launch hellrain from a skies that deal massive damage to all units around selected point."
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_damage"                                     "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_radius"                                     "RADIUS:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_golem.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\gui\repick_menu.txt' begin 
"AA_REPICK_MENU_PICK_GOD"							"CHANGE HERO"
"AA_REPICK_MENU_ALREADY_PICKED"						"HERO ALREADY PICKED"
"AA_REPICK_MENU_NO_SHARD"							"NO MATCHED SHARD"
"AA_REPICK_MENU_DUEL_SOON"							"DUEL WILL BE SOON"
"AA_REPICK_ITEM_TITLE"								"CHOOSE A NEW HERO"
"AA_REPICK_ITEM_HINT"								"Your level, items and gold are preserved. Taken heroes are greyed out."
"AA_REPICK_ITEM_PICK"								"CHANGE HERO"
"AA_REPICK_ITEM_PICK_DISABLED"						"SELECT A HERO"
"AA_REPICK_ITEM_DUEL_BLOCKED"						"Cannot change hero during a duel."
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\gui\repick_menu.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\abaddon.txt' begin 
"DOTA_Tooltip_ability_abaddon_death_coil_percent"					"%DAMAGE/HEAL FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\abaddon.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' begin 
"DOTA_Tooltip_ability_ancient_apparition_cold_feet_damage_pct"			"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\axe.txt' begin 
"DOTA_Tooltip_ability_axe_counter_helix_Description"				"When attacked, Axe performs a helix counter attack, dealing damage to all nearby enemies. This ability applies base attack damage to every units that it hits.\nPassively increases the base attack damage of Axe."
"DOTA_Tooltip_ability_axe_counter_helix_damage_from_attack"			"DAMAGE FROM ATTACK:"
"DOTA_Tooltip_ability_axe_battle_hunger_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_axe_culling_blade_hp_limit"					"%HP THRESHOLD:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\axe.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bane.txt' begin 
"DOTA_Tooltip_ability_bane_brain_sap_brain_sap_heal_pct"			"%DAMAGE/HEAL FROM INTELLECT:"
"DOTA_Tooltip_ability_bane_enfeeble_damage_decrease"						"%DAMAGE DECREASING:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bane.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\batrider.txt' begin 
"DOTA_Tooltip_ability_batrider_firefly_damage_pct"				"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\batrider.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\beastmaster.txt' begin 
"DOTA_Tooltip_ability_beastmaster_primal_roar_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_beastmaster_wild_axes_damage_pct"				"%DAMAGE FROM STR(MAGICAL):"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\beastmaster.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' begin 
"DOTA_Tooltip_ability_bounty_hunter_shuriken_toss_damage_pct"		"%DAMAGE FROM AGI:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\brewmaster.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\brewmaster.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bristleback.txt' begin 
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str"		"MULTIPLER BY STRENGTH:"
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str_hero"	"MULTIPLER BY STRENGTH FOR HEROES:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bristleback.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\centaur.txt' begin 
"DOTA_Tooltip_ability_centaur_double_edge_edge_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_centaur_hoof_stomp_damage_pct"				"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\centaur.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\charon.txt' begin 

"DOTA_Tooltip_ability_charon_soul_drain"							"Soul Drain"
"DOTA_Tooltip_ability_charon_soul_drain_Description"				"Charon stuns and steals mana from enemy. When mana ends Charon starts stealing health from unit.\nWhen owner has a <b><font color='#af72cd'>Charon's Scepter</font></b> or <b><font color='#1a887d'>Void Scepter</font></b>, stealed mana and health will be restored to ability owner."
"DOTA_Tooltip_ability_charon_soul_drain_range_tooltip"				"RANGE:"
"DOTA_Tooltip_ability_charon_soul_drain_duration_tooltip"			"DURATION:"
"DOTA_Tooltip_ability_charon_soul_drain_manaburn_tooltip"			"MANA PER SEC:"
"DOTA_Tooltip_ability_charon_soul_drain_manaburn_pct_tooltip"	    "%MANA PER SEC%:"
"DOTA_Tooltip_ability_charon_soul_drain_damage_tooltip"				"HEALTH PER SEC:"
"DOTA_Tooltip_modifier_charon_soul_drain"	                        "Stunned"

"DOTA_Tooltip_ability_charon_last_word"							    "Last Word"
"DOTA_Tooltip_ability_charon_last_word_Description"				    "All enemies in radius will be slowed."
"DOTA_Tooltip_ability_charon_last_word_radius"				        "RADIUS:"
"DOTA_Tooltip_ability_charon_last_word_slow_for_mana_pct"		    "%SLOW BY MANA PERCENTAGE:"
"DOTA_Tooltip_modifier_charon_last_word_aura_effect"		        "Slow"

"DOTA_Tooltip_ability_charon_overload"							    "Overload"
"DOTA_Tooltip_ability_charon_overload_Description"				    "Hero release a soul to target that deal damage that depends of Charon manapool. Ability manacost depends on manapool of Charon."
"DOTA_Tooltip_ability_charon_overload_damage_constant"				"DAMAGE:"
"DOTA_Tooltip_ability_charon_overload_damage_for_mana_pct"		    "%DAMAGE FROM MANA:"
"DOTA_Tooltip_ability_charon_overload_mana_cost_pct"		        "%MANACOST:"

"DOTA_Tooltip_ability_charon_collapse"							    "Collapse"
"DOTA_Tooltip_ability_charon_collapse_Description"				    "Charon collapse and pulls all enemies to himself, stealing mana that depends of distnace between enemy and Charon. After collapsing Charon knockback all enemies and deal damage that depends of stealed mana."
"DOTA_Tooltip_ability_charon_collapse_radius"				        "PULL RADIUS:"
"DOTA_Tooltip_ability_charon_collapse_duration_inside"				"PULL DURATION:"
"DOTA_Tooltip_ability_charon_collapse_manaburn_min"		            "MANA BURN MIN:"
"DOTA_Tooltip_ability_charon_collapse_manaburn_max"		            "MANA BURN MAX:"
"DOTA_Tooltip_ability_charon_collapse_damage_per_mana_burn"		    "DAMAGE FROM STEALED MANA::"
"DOTA_Tooltip_ability_charon_collapse_radius_out"		            "KNOCKBACK RADIUS:"
"DOTA_Tooltip_modifier_charon_collapse_in_caster"		            "Collapse"
"DOTA_Tooltip_ability_charon_collapse_Note0"		                "Pulls and knockback spellimmune emeies, but doesn't steal mana and doesn't deal damage to them."
"DOTA_Tooltip_modifier_charon_collapse_inside"		                "Pulled by Charon"	

"DOTA_Tooltip_ability_charon_soul_drain_cast_time_fast_bonus_const_tallent"               "+1.5sec. to Soul Drain duration."
"DOTA_Tooltip_ability_charon_last_word_bonus_slow_per_mana_tallent"                       "+0.2 slow for mana percent for Last Word"
"DOTA_Tooltip_ability_charon_overload_manacost_reduction_percent_tallent"                 "Astral Loop"
"DOTA_Tooltip_ability_charon_overload_manacost_reduction_percent_tallent_Description"     "Decreasing Overload manacost for 50% without damage chaning."
"DOTA_Tooltip_ability_charon_collapse_bonus_duration_tallent"                             "-2 seconds to Collapse duration"
"DOTA_Tooltip_ability_charon_collapse_bonus_radius_tallent"                               "+250 to Collapse Radius"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\charon.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\chen.txt' begin 
"DOTA_Tooltip_ability_chen_test_of_faith_damage_pct"					"%DAMAGE:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\chen.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\clockwerk.txt' begin 
"DOTA_Tooltip_ability_rattletrap_rocket_flare_damage_pct"			"%DAMAGE OF STRENGTH:"
"DOTA_Tooltip_ability_rattletrap_battery_assault_damage_pct"		"%DAMAGE FROM STRENGTH:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\clockwerk.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\crystal_maiden.txt' begin 
"DOTA_Tooltip_ability_crystal_maiden_freezing_field_damage_pct"		"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\crystal_maiden.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dark_seer.txt' begin 
"DOTA_Tooltip_ability_dark_seer_vacuum_damage_pct"					"%DAMAGE FROM INTELLECT:"
"DOTA_Tooltip_ability_dark_seer_ion_shell_damage_pct"				"%DAMAGE FROM INTELLECT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dark_seer.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dazzle.txt' begin 
"DOTA_Tooltip_ability_dazzle_shadow_wave_heal_pct"						"%HEAL FROM INT:"
"DOTA_Tooltip_ability_dazzle_shadow_wave_damage_pct"					"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dazzle.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\death_prophet.txt' begin 
"DOTA_Tooltip_ability_death_prophet_exorcism_damage_to_magical"			"%DAMAGE TO MAGICAL DAMAGE:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\death_prophet.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\disruptor.txt' begin 
"DOTA_Tooltip_ability_disruptor_thunder_strike_damage_pct"		"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\disruptor.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dragon_knight.txt' begin 
"DOTA_Tooltip_ability_dragon_knight_breathe_fire_damage_pct"		"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_dragon_knight_dragon_tail_damage_pct"			"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\dragon_knight.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\drow_ranger.txt' begin 
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow"					"Vengeance Arrow"
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_Description"		"Drow Ranger can absorb damage and deal a counter-attack.\n\nOrb-modifiers don't work on counter-attack\n\nCounter-attacks cannot be disabled."
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_chance"			"%CHANCE:"
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_Note0"			"Skill only works when taking more than 10dmg."
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\drow_ranger.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\earthshaker.txt' begin 
"DOTA_Tooltip_ability_earthshaker_aftershock_damage_from_str"			"STR MULTIPLER:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\earthshaker.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\earth_spirit.txt' begin 
"DOTA_Tooltip_ability_earth_spirit_boulder_smash_damage_pct"		"%DAMAGE FROM STR:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\earth_spirit.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\faceless_void.txt' begin 
"DOTA_Tooltip_modifier_time_lock_stun_datadriven"					"Bashed"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\faceless_void.txt' end
"npc_dota_hero_faceless_void"											"Fireblade"

"DOTA_Tooltip_ability_fireblade_fiery_stream_shard_Description"	"Reduces cooldown by %AbilityCooldown% seconds and increases damage taken by the victim from attacks by %damage_steel_pct%%."

"DOTA_Tooltip_ability_fireblade_fiery_stream"							"Fiery Stream"
"DOTA_Tooltip_ability_fireblade_fiery_stream_damage_steel_pct" 			"THEFT ATTACK:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_Description" "Fireblade releases a stream of fire, burning everything in front of it. 
For every hero affected Fireblade receives bonus damage for a short period of time and steals an attack in %damage_steel_pct%%."
"DOTA_Tooltip_ability_fireblade_fiery_stream_distantion"				"DISTANTION:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_damage_per_hero"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_buff_duration"				"DURATION:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_slow"							"%SLOW:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_slow_duration"				"SLOW DURATION:"

"DOTA_Tooltip_modifier_fireblade_fiery_stream_talent"					"Fiery Stream Dash"

"DOTA_Tooltip_modifier_fireblade_fiery_stream_debuff"					"Slowed"
"DOTA_Tooltip_modifier_fireblade_fiery_stream_debuff_Description"		"Slowed for %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% by Fiery Stream"

"DOTA_Tooltip_modifier_fireblade_fiery_stream_buff"						"Damage bonus"
"DOTA_Tooltip_modifier_fireblade_fiery_stream_buff_Description"			"Bonus %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% damage from Fiery Stream"

"DOTA_Tooltip_ability_fireblade_burn_offering"							"Burn Offering"
"DOTA_Tooltip_ability_fireblade_burn_offering_Description"				"Fireblade launch fireball into nearest unit. Fireball deal damage on hit."
"DOTA_Tooltip_ability_fireblade_burn_offering_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_fireblade_burn_offering_speed"					"SPEED:"
"DOTA_Tooltip_ability_fireblade_burn_offering_abilitycastrange"			"RADIUS:"

"DOTA_Tooltip_ability_fireblade_scorched_blades"						"Scorched Blades"
"DOTA_Tooltip_ability_fireblade_scorched_blades_Description"			"Fireblade deal additional magical damage with every attack. Fireblade increase magical damage by percent of himself attack damage."
"DOTA_Tooltip_ability_fireblade_scorched_blades_damage"					"DAMAGE:"

"DOTA_Tooltip_Ability_fireblade_firestrip"								"Firestrip"
"DOTA_Tooltip_Ability_fireblade_firestrip_Description"					"Hero attacks everybody around him. Attack will deal bonus magical damage to enemies. Fireblade gets additional damage resisting per every hitted hero."
"DOTA_Tooltip_Ability_fireblade_firestrip_Note0"						"Attack modifiers wasn't applied on this ability."
"DOTA_Tooltip_Ability_fireblade_firestrip_damage"						"BONUS MAGICAL DAMAGE::"
"DOTA_Tooltip_Ability_fireblade_firestrip_damage_resist_per_hero"		"%DAMAGE RESISTANCE:"
"DOTA_Tooltip_Ability_fireblade_firestrip_buff_duration"				"BUFF DURATION:"
"DOTA_Tooltip_Ability_fireblade_firestrip_abilitycastrange"				"RADIUS:"


"DOTA_Tooltip_modifier_fireblade_firestrip_buff"						"Firestrip resist"
"DOTA_Tooltip_modifier_fireblade_firestrip_buff_Description"			"Incoming damage changed -%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% "

"DOTA_Tooltip_ability_fireblade_talent_fire_stream_blink"				"Fiery Stream move caster with fire"
"DOTA_Tooltip_ability_fireblade_talent_fire_stream_blink_Description"	"On dash hero grants invulnerability but can't use any ability or item"
"DOTA_Tooltip_ability_fireblade_talent_burn_offering_heal"				"Burn Offering heal owner for dealed damage"
"DOTA_Tooltip_ability_fireblade_talent_firestrip_stun"					"Firestrip applies stun for 1.0 sec."
"DOTA_Tooltip_ability_fireblade_talent_firestrip_spellimmune"			"Firestrip work on magic immune units"
"DOTA_Tooltip_ability_fireblade_talent_burn_offering_aoe"				"Burn Offsering applies on all nearby enemies"
"DOTA_Tooltip_ability_fireblade_talent_burn_offering_attack_dmg"		"Burn Offering applies damage from attack"
"DOTA_Tooltip_ability_fireblade_talent_scorched_blades_silence"			"Scorched Blades applies silence for 1.0 sec."
"DOTA_Tooltip_ability_fireblade_talent_scorched_blades_silence_Description"			"Silence cooldown is 4.0 sec. Also disable item casting."

"DOTA_Tooltip_ability_fireblade_talent_scorched_blades_spellimmune"		"Scorched Blades ignores magic immune"



"DOTA_Tooltip_ability_possessed_courage"							"Possessed Courage"

"DOTA_Tooltip_ability_possessed_courage_Description"				"The possessed can absorb half of the damage and counter attack in a big radius."
"DOTA_Tooltip_ability_possessed_courage_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_possessed_courage_block_damage"				"%DAMAGE ABSORB:"
"DOTA_Tooltip_ability_possessed_courage_radius"						"ATTACK RADIUS:"

"DOTA_Tooltip_ability_possessed_stun"								"Possessed Stun"
"DOTA_Tooltip_ability_possessed_stun_Description"					"The possessed stuns everybody in a radius and deals damage depending on the max HP of the targets."
"DOTA_Tooltip_ability_possessed_stun_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_possessed_stun_duration"						"DURATION:"
"DOTA_Tooltip_ability_possessed_stun_radius"						"RADIUS:"

"DOTA_Tooltip_modifier_possessed_stun"								"STUNNED"

"DOTA_Tooltip_ability_possessed_kraken"								"Demonic protection"
"DOTA_Tooltip_ability_possessed_kraken_Description"					"Removes negative status effects if the damage taken crosses a threshold."
"DOTA_Tooltip_ability_possessed_kraken_damage_cleanse"				"DAMAGE THRESHOLD:"

"DOTA_Tooltip_ability_possessed_bash"								"Possessed Luck"
"DOTA_Tooltip_ability_possessed_bash_Description"					"The possessed can see the enemies weakness. Stuns the enemy and deals damage that depends on the max HP targets."
"DOTA_Tooltip_ability_possessed_bash_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_possessed_bash_bash_time"						"STUN DURATION:"
"DOTA_Tooltip_ability_possessed_bash_vampire"						"%VAMPIRE PERCENT:"
"DOTA_Tooltip_ability_possessed_bash_damage_pct"					"%MAX HP DAMAGE:"
"DOTA_Tooltip_modifier_possessed_bash_stun"							"STUNNED"

"DOTA_Tooltip_ability_possessed_fury"								"Possessed fury"
"DOTA_Tooltip_ability_possessed_fury_Description"					"The possessed kills all illusions that try to attack him.\nWhen the health of the possessed falls below 50 percent he gets 650 damage, 400 attack speed, BAT 0.5 and true strike.\n When the health falls below 25 percent the possesed gains a 20 percent chance to resist to all attacks."

// Stegius localization begin 

"npc_dota_hero_stegius"															"Stegius"

"DOTA_Tooltip_Ability_stegius_desolus_wave"										"Desolus Wave"
"DOTA_Tooltip_Ability_stegius_desolus_wave_Description"							"Stegius releases powerful wave, that deals damage to all enemy units on it's way and decreasing their armor for some time."
"DOTA_Tooltip_Ability_stegius_desolus_wave_SummaryDescription"					"Releases a wave that damages enemies and reduces their armor."
"DOTA_Tooltip_Ability_stegius_desolus_wave_Lore"									"Stegius cleanses the mind of the enemies with a wave of insanity ..."
"DOTA_Tooltip_Ability_stegius_desolus_wave_range"								"MAX RANGE:"
"DOTA_Tooltip_Ability_stegius_desolus_wave_speed"								"WAVE SPEED:"
"DOTA_Tooltip_Ability_stegius_desolus_wave_armor_reduction"						"ARMOR REDUCTION:"
"DOTA_Tooltip_Ability_stegius_desolus_wave_duration"							"DURATION:"
"DOTA_Tooltip_modifier_stegius_desolus_wave"									"Desolus Wave"
"DOTA_Tooltip_modifier_stegius_desolus_wave_Description"							"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_Ability_stegius_rage_of_desolus"									"Rage of Desolus"
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_Description"						"Awakens rage in target unit, increasing it's movement and attack speed."
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_SummaryDescription"				"Increases a target ally's attack and movement speed."
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_Lore"								"Stegius's rage will suffice at all ... Even on allies."
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_duration"							"DURATION:"
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_bonus_attack_speed"				"ATTACK SPEED INCREASEMENT:"
"DOTA_Tooltip_Ability_stegius_rage_of_desolus_bonus_movement_speed_pct"			"%MOVEMENT SPEED INCREASEMENT:"
"DOTA_Tooltip_modifier_stegius_rage_of_desolus"									"Rage of Desolus"
"DOTA_Tooltip_modifier_stegius_rage_of_desolus_Description"						"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"DOTA_Tooltip_Ability_stegius_brightness_of_desolate"							"Brightness of Desolate"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_Description"				"All enemies in %radius% range loses their armor, heroes also have decreased max health. If affected by this aura unit dies, Stegius gains attack damage for some time. If killed unit is hero, Stegius will gain some attack speed and armor forever."
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_SummaryDescription"		"Aura that reduces enemy armor; heroes also lose max health."
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_Lore"						"Enemies weaken from the mere presence of the Master of Destruction on the battlefield."
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_radius"					"RADIUS:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_health_decrease_pct"		"%HEALTH DECREASE ON HEROES:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_armor_decrease"				"ARMOR REDUCTION:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_bonus_damage_from_creep"	"DAMAGE FROM CREEP:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_bonus_damage_from_hero"	"DAMAGE FROM HERO:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_bonus_damage_duration"		"DAMAGE INCREASEMENT DURATION:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_stolen_attack_speed"		"ATTACK SPEED FOR HERO:"
"DOTA_Tooltip_Ability_stegius_brightness_of_desolate_stolen_armor"				"ARMOR FOR HERO:"
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_effect"					"Brightness of Desolate"
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_effect_Description"		"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. On heroes, also reduces max health."
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_damage"					"Brightness of Desolate"
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_damage_Description"		"Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_steal_buff"				"Brightness of Desolate"
"DOTA_Tooltip_modifier_stegius_brightness_of_desolate_steal_buff_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"

"DOTA_Tooltip_Ability_stegius_desolating_touch"									"Desolating Touch"
"DOTA_Tooltip_Ability_stegius_desolating_touch_Description"						"With each attack Stegius reduces armor. This effect stacks. Each stack has unique duration. On bosses armor reduction has a limit. Stegius illusions also reduces armor."
"DOTA_Tooltip_Ability_stegius_desolating_touch_SummaryDescription"				"Attacks reduce the target's armor. Stacks."
"DOTA_Tooltip_Ability_stegius_desolating_touch_Lore"							"The Master of Death will destroy any armor to get to your soul ..."
"DOTA_Tooltip_Ability_stegius_desolating_touch_armor_per_hit"					"ARMOR REDUCTION:"
