"lang"
{
	"Language"		"Russian"
"DOTA_Tooltip_ability_ogre_small_move"                                                                "Magical Haste"
"DOTA_Tooltip_ability_ogre_small_move_Description"                                                    "Увеличивает скорость передвижения героя."
"DOTA_Tooltip_ability_ogre_small_move_movement_bonus"                                                 "ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_ogre_small_move_duration"                                                       "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_ogre_small_buff"                                                                "Harmony"
"DOTA_Tooltip_ability_ogre_small_buff_Description"                                                    "Накладывает на союзника положительный эффект, при атаке владелеца эффекта скорость атаки врага уменьшится."
"DOTA_Tooltip_ability_ogre_small_buff_attack_slow"                                                    "ЗАМЕДЛЕНИЕ АТАКИ:"
"DOTA_Tooltip_ability_ogre_small_buff_debuff_duration"                                                "ДЛИТЕЛЬНОСТЬ ОТРИЦАТЕЛЬНОГО ЭФФЕКТА:"
"DOTA_Tooltip_ability_ogre_small_buff_duration"                                                       "ДЛИТЕЛЬНОСТЬ ПОЛОЖИТЕЛЬНОГО ЭФФЕКТА:"

"DOTA_Tooltip_ability_ogre_small_burn"                                                                "Fire Flask"
"DOTA_Tooltip_ability_ogre_small_burn_Description"                                                    "Поджигает выбранную цель нанося ей периодический урон."
"DOTA_Tooltip_ability_ogre_small_burn_duration"                                                       "ДЛИТЕЛЬНОСТЬ ГОРЕНИЯ:"
"DOTA_Tooltip_ability_ogre_small_burn_damage"                                                         "УРОН:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_ogre_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_salamander_big.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_hp_aura_lua"                                        "Health Aura"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_hp_aura_lua_Description"                            "Увеличивает здоровье союзников неподалеку."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_hp_aura_lua_bonus_hp"                               "ДОП. ЗДОРОВЬЕ:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_hp_aura_lua_radius"                                 "РАДИУС:"

"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_damage_abs_lua"                                     "Damage Reduction"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_damage_abs_lua_Description"                         "Снижает получаемый урон."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_damage_abs_lua_damage_absorb_pct"                   "%СНИЖЕНИЕ УРОНА:"

"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_fireball_lua"                                       "Fireball"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_fireball_lua_Description"                           "Запускает наносящий урон огненный шар во вражескую цель."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_fireball_lua_damage"                                "УРОН:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_big_fireball_lua_speed"                                 "СКОРОСТЬ СНАРЯДА:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_salamander_big.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_salamander_small.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_armor_lua"                                   "Armor Increasing"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_armor_lua_Description"                       "Увеличивает броню всех союзников в небольшом радиусе около выбранной точки."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_armor_lua_radius"                            "РАДИУС:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_armor_lua_duration"                          "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_armor_lua_bonus_armor"                       "ДОП. БРОНЯ:"

"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_as_lua"                                      "Ancient Blessing"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_as_lua_Description"                          "Значительно увеличивает скорость атаки выбранной цели."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_as_lua_bonus_attack_spd"                     "БОНУС К СКОРОСТИ АТАКИ:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_buff_as_lua_duration"                             "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_damage_aura_lua"                                  "Damage Aura"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_damage_aura_lua_Description"                      "Увеличивает урон всех союзных существ неподалеку."
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_damage_aura_lua_bonus_dmg"                        "БОНУС УРОНА:"
"DOTA_Tooltip_ability_npc_aa_creep_salamander_small_damage_aura_lua_radius"                           "РАДИУС:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_salamander_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_skelet_1.kv' begin 
"DOTA_Tooltip_ability_skelet_1_bone"                                                                  "Bone Throwing"
"DOTA_Tooltip_ability_skelet_1_bone_Description"                                                      "Бросает кость в выбранного врага. Кость наносит урон и ненадолго оглушает врага."
"DOTA_Tooltip_ability_skelet_1_bone_duration"                                                         "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_skelet_1_bone_damage"                                                           "УРОН:"
"DOTA_Tooltip_ability_skelet_1_bone_speed"                                                            "СКОРОСТЬ ПОЛЕТА СНАРЯДА:"

"DOTA_Tooltip_ability_skelet_1_so_death_heal"                                                         "Death Miss"
"DOTA_Tooltip_ability_skelet_1_so_death_heal_Description"                                             "При получении смертельного урона восстанавливает здоровье владельца."
"DOTA_Tooltip_ability_skelet_1_so_death_heal_pct_health_per_heal"                                     "%ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_skelet_1_so_death_heal_cooldown"                                                "КУЛДАУН:"

"DOTA_Tooltip_ability_skelet_1_blue_heal"                                                             "Life Extension"
"DOTA_Tooltip_ability_skelet_1_blue_heal_Description"                                                 "Восстанавливает здоровье союзника ценой собственной жизни."
"DOTA_Tooltip_ability_skelet_1_blue_heal_heal_pct"                                                    "%ЛЕЧЕНИЕ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_skelet_1.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_skelet_2.kv' begin 
"DOTA_Tooltip_ability_skelet_2_aura"                                                                  "Deadly Aura"
"DOTA_Tooltip_ability_skelet_2_aura_Description"                                                      "Наносит небольшой урон всем окружающим врагам."
"DOTA_Tooltip_ability_skelet_2_aura_damage_per_second"                                                "УРОН:"
"DOTA_Tooltip_ability_skelet_2_aura_radius"                                                           "РАДИУС УРОНА:"
"DOTA_Tooltip_ability_skelet_2_aura_time_rate_sec"                                                    "ИНТЕРВАЛ УРОНА:"

"DOTA_Tooltip_ability_skelet_2_heal"                                                                  "Bone Medicine"
"DOTA_Tooltip_ability_skelet_2_heal_Description"                                                      "Излечивает выбранную цель на небольшое значение, а так же увеличивает лечение на значение основного аттрибута цели."
"DOTA_Tooltip_ability_skelet_2_heal_heal_const"                                                       "ЛЕЧЕНИЕ:"
"DOTA_Tooltip_ability_skelet_2_heal_heal_per_main_stat_target_coef"                                   "ЛЕЧЕНИЕ ОТ ОСНОВНОГО АТТРИБУТА:"

"DOTA_Tooltip_ability_skelet_2_buff_hp"                                                               "Skeleton blessing"
"DOTA_Tooltip_ability_skelet_2_buff_hp_Description"                                                   "Увеличивает здоровье выбранной цели на короткий срок."
"DOTA_Tooltip_ability_skelet_2_buff_hp_bonus_health_pct"                                              "%УВЕЛИЧЕНИЕ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_skelet_2_buff_hp_duration"                                                      "ДЛИТЕЛЬНОСТЬ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_skelet_2.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_head.kv' begin 
"DOTA_Tooltip_ability_small_satyr_big_clap"                                                           "Satyr Clap"
"DOTA_Tooltip_ability_small_satyr_big_clap_Description"                                               "Вождь Cатиров хлопает, нанося урон окружающим врагам, и замедляет их скорость передвижения."
"DOTA_Tooltip_ability_small_satyr_big_clap_duration"                                                  "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_small_satyr_big_clap_damage"                                                    "УРОН:"
"DOTA_Tooltip_ability_small_satyr_big_clap_movement_slow"                                             "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_small_satyr_big_clap_radius"                                                    "РАДИУС:"

"DOTA_Tooltip_ability_small_satyr_big_jump"                                                           "Jump"
"DOTA_Tooltip_ability_small_satyr_big_jump_Description"                                               "Прыжок к выбранной точке."
"DOTA_Tooltip_ability_small_satyr_big_jump_range"                                                     "ДАЛЬНОСТЬ:"
"DOTA_Tooltip_ability_small_satyr_big_jump_duration"                                                  "ДЛИТЕЛЬНОСТЬ ПРЫЖКА:"

"DOTA_Tooltip_ability_small_satyr_big_bash"                                                           "Bash"
"DOTA_Tooltip_ability_small_satyr_big_bash_Description"                                               "С небольшим шансом оглушает цель при атаке."
"DOTA_Tooltip_ability_small_satyr_big_bash_chance"                                                    "%ШАНС:"
"DOTA_Tooltip_ability_small_satyr_big_bash_duration"                                                  "ДЛИТЕЛЬНОСТЬ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_head.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_little.kv' begin 
"DOTA_Tooltip_ability_small_satyr_little_slow"                                                        "Slowness"
"DOTA_Tooltip_ability_small_satyr_little_slow_Description"                                            "Уменьшает скорость передвижения выбранной цели."
"DOTA_Tooltip_ability_small_satyr_little_slow_duration"                                               "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_small_satyr_little_slow_percent"                                                "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"

"DOTA_Tooltip_ability_small_satyr_little_aura_mag_resist"                                             "Magical Resist Aura"
"DOTA_Tooltip_ability_small_satyr_little_aura_mag_resist_Description"                                 "Увеличивает сопротивление к магии окружающих союзников."
"DOTA_Tooltip_ability_small_satyr_little_aura_mag_resist_mag_resist"                                  "%СОПРОТИВЛЕНИЕ МАГИИ:"
"DOTA_Tooltip_ability_small_satyr_little_aura_mag_resist_radius"                                      "РАДИУС:"

"DOTA_Tooltip_ability_small_satyr_little_invisible"                                                   "Invisibility"
"DOTA_Tooltip_ability_small_satyr_little_invisible_Description"                                       "Дарует невидимость выбранному союзнику."
"DOTA_Tooltip_ability_small_satyr_little_invisible_duration"                                          "ДЛИТЕЛЬНОСТЬ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_little.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_middle.kv' begin 
"DOTA_Tooltip_ability_small_satyr_middle_small_arc"                                                   "Arc Lightning"
"DOTA_Tooltip_ability_small_satyr_middle_small_arc_Description"                                       "Выпускает молнию, которая наносит урон и отскакивает между целями."
"DOTA_Tooltip_ability_small_satyr_middle_small_arc_radius"                                            "РАДИУС ОТСКОКА:"
"DOTA_Tooltip_ability_small_satyr_middle_small_arc_damage"                                            "УРОН:"
"DOTA_Tooltip_ability_small_satyr_middle_small_arc_bounces"                                           "КОЛИЧЕСТВОВО ОТСКОКОВ:"
"DOTA_Tooltip_ability_small_satyr_middle_small_arc_projectile_speed"                                  "СКОРОСТЬ СНАРЯДА:"

"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify"                                                 "Damage Aura"
"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify_Description"                                     "Увеличивает базовый урон от атак всех союзных существ неподалеку.."
"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify_damage_pct"                                      "%УВЕЛИЧЕНИЕ УРОНА:"
"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify_radius"                                          "РАДИУС:"

"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify"                                               "Magical Nature"
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_Description"                                   "Увеличивает исходящий урон от способностей выбранному союзнику."
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_duration"                                      "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_percent"                                       "%УВЕЛИЧЕНИЕ МАГИЧЕСКОГО УРОНА:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_small_satyr_middle.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_spider_one.kv' begin 
"DOTA_Tooltip_ability_spider_one_grid"                                                                "Web"
"DOTA_Tooltip_ability_spider_one_grid_Description"                                                    "Бросает паутину на выбранную цель, которая запрещает ей перемещаться."
"DOTA_Tooltip_ability_spider_one_grid_grid_speed"                                                     "СКОРОСТЬ СНАРЯДА:"
"DOTA_Tooltip_ability_spider_one_grid_duration"                                                       "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_spider_one_poison"                                                              "Poison"
"DOTA_Tooltip_ability_spider_one_poison_Description"                                                  "Отравляет выбранную цель, нанося ей периодический урон."
"DOTA_Tooltip_ability_spider_one_poison_duration"                                                     "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_spider_one_poison_damage"                                                       "УРОН:"

"DOTA_Tooltip_ability_spider_one_passive"                                                             "Cross Walking"
"DOTA_Tooltip_ability_spider_one_passive_Description"                                                 "Позволяет перемещаться по любым поверхностям."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_spider_one.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_spider_two.kv' begin 
"DOTA_Tooltip_ability_spider_two_invis"                                                               "Invisibility"
"DOTA_Tooltip_ability_spider_two_invis_Description"                                                   "Паук становится невидимым. При ударе из невидимости наносит дополнительный магический урон и отравляет цель, нанося периодический урон."
"DOTA_Tooltip_ability_spider_two_invis_duration"                                                      "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_spider_two_invis_damage"                                                        "УРОН:"
"DOTA_Tooltip_ability_spider_two_invis_damage_per_sec"                                                "УРОН ОТ ЯДА:"
"DOTA_Tooltip_ability_spider_two_invis_poison_duration"                                               "ДЛИТЕЛЬНОСТЬ ЯДА:"

"DOTA_Tooltip_ability_spider_two_aura"                                                                "Slowness Aura"
"DOTA_Tooltip_ability_spider_two_aura_Description"                                                    "Замедляет передвижение всех окружающих врагов."
"DOTA_Tooltip_ability_spider_two_aura_radius"                                                         "РАДИУС:"
"DOTA_Tooltip_ability_spider_two_aura_move_slow"                                                      "%ЗАМЕДЛЕНИЕ ПЕРЕМЕЩЕНИЯ:"

"DOTA_Tooltip_ability_spider_two_passive"                                                             "Cross Walking"
"DOTA_Tooltip_ability_spider_two_passive_Description"                                                 "Позволяет перемещаться по любым поверхностям."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_spider_two.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_windwing_big.kv' begin 
"DOTA_Tooltip_ability_windwing_big_cyclone_lua"                                                       "Cyclone"
"DOTA_Tooltip_ability_windwing_big_cyclone_lua_Description"                                           "Циклон который поднимает выбранную цель на некоторое время."
"DOTA_Tooltip_ability_windwing_big_cyclone_lua_duration"                                              "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_windwing_big_aura_lua"                                                          "Life Aura"
"DOTA_Tooltip_ability_windwing_big_aura_lua_Description"                                              "Окрущающие союзники восстанавливают здоровье при нанесении урона."
"DOTA_Tooltip_ability_windwing_big_aura_lua_lifesteal"                                                "%ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_windwing_big_aura_lua_radius"                                                   "РАДИУС:"

"DOTA_Tooltip_ability_windwing_big_stun_lua"                                                          "Windrock"
"DOTA_Tooltip_ability_windwing_big_stun_lua_Description"                                              "Бросает снаряд, наносящий урон и оглушающий врага."
"DOTA_Tooltip_ability_windwing_big_stun_lua_duration"                                                 "ДЛИТЕЛЬНОСТЬ СТАНА:"
"DOTA_Tooltip_ability_windwing_big_stun_lua_damage"                                                   "УРОН:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_windwing_big.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_windwing_small.kv' begin 
"DOTA_Tooltip_ability_windwing_small_aura_lua"                                                        "Wind Armor"
"DOTA_Tooltip_ability_windwing_small_aura_lua_Description"                                            "Увеличивает броню и скорость атаки союзников неподалеку."
"DOTA_Tooltip_ability_windwing_small_aura_lua_aura_radius"                                            "РАДИУС:"
"DOTA_Tooltip_ability_windwing_small_aura_lua_bonus_attack_speed"                                     "СКОРОСТЬ АТАКИ:"
"DOTA_Tooltip_ability_windwing_small_aura_lua_bonus_armor"                                            "БРОНЯ:"

"DOTA_Tooltip_ability_windwing_small_blink_lua"                                                       "Blink"
"DOTA_Tooltip_ability_windwing_small_blink_lua_Description"                                           "Перемещается в выбранную точку."
"DOTA_Tooltip_ability_windwing_small_blink_lua_blink_range"                                           "РАДИУС:"

"DOTA_Tooltip_ability_windwing_small_heal_lua"                                                        "Heal of Nature"
"DOTA_Tooltip_ability_windwing_small_heal_lua_Description"                                            "Лечит выбранную цель."
"DOTA_Tooltip_ability_windwing_small_heal_lua_heal"                                                   "ЛЕЧЕНИЕ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_windwing_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_wolf_big.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua"                                          "Wolf Rage"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_Description"                              "Значительно увеличивает исходящий урон на короткий срок."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_bonus_all_damage_pct"                     "%УВЕЛИЧЕНИЕ УРОНА:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_duration"                                 "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua"                                                 "Wolf Bite"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_Description"                                     "Кусает выбранную цель, нанося ей урон и замедляя ее скорость передвижения."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_damage"                                          "УРОН:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_slow_pct"                                        "%ЗАМЕДЛЕНИЕ:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_duration"                                        "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua"                                          "Wolf Aura"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_Description"                              "Увеличивает урон союзников неподалеку."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_bonus_dmg"                                "УРОН:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_radius"                                   "РАДИУС:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_wolf_big.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_wolf_small.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua"                                         "Wolf Vision"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_Description"                             "Имеет фиксированный радиус обзора днем и ночью."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_day_vision"                              "РАДИУС ОБЗОРА ДНЕМ:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_night_vision"                            "РАДИУС ОБЗОРА НОЧЬЮ:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua"                                           "Vampire Aura"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_Description"                               "Все окружающие существа восстанавливают здоровье при нанесении урона."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_radius"                                    "РАДИУС:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_lifesteal"                                 "%ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua"                                               "Wolf Claws"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_Description"                                   "Позволяет выбранному союзнику наносить критический урон."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_duration"                                      "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_crit_chance"                                   "%ШАНС:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_crit_damage"                                   "%УРОН:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_wolf_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_zombie_lying.kv' begin 
"DOTA_Tooltip_ability_zombie_lying_passive_slow"                                                      "Slowness"
"DOTA_Tooltip_ability_zombie_lying_passive_slow_Description"                                          "Замедляет противника при атаке."
"DOTA_Tooltip_ability_zombie_lying_passive_slow_slow_pct"                                             "%ЗАМЕЛЕНИЕ:"
"DOTA_Tooltip_ability_zombie_lying_passive_slow_duration"                                             "ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed"                                           "Death March"
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_Description"                               "Повышает скорость передвижения, если его здоровья ниже определенного порога."
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_need_hp_pct"                               "%ПОРОГ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_bonus_movespeed_pct"                       "%БОНУС К СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"

"DOTA_Tooltip_ability_zombie_walking_jump"                                                            "Cloud Zombie"
"DOTA_Tooltip_ability_zombie_walking_jump_Description"                                                "Прыгает на выбранную цель нанося ей урон."
"DOTA_Tooltip_ability_zombie_walking_jump_damage"                                                     "УРОН:"
"DOTA_Tooltip_ability_zombie_walking_jump_speed"                                                      "СКОРОСТЬ:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_zombie_lying.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_zombie_walking.kv' begin 
"DOTA_Tooltip_ability_zombie_walking_devouring"                                                       "Devouring"
"DOTA_Tooltip_ability_zombie_walking_devouring_Description"                                           "Пожирает выбранную цель. Оглушает противника и наносит ему урон."
"DOTA_Tooltip_ability_zombie_walking_devouring_damage"                                                "УРОН:"
"DOTA_Tooltip_ability_zombie_walking_devouring_interval"                                              "ИНТЕРВАЛ:"

"DOTA_Tooltip_ability_zombie_walking_aura_damage"                                                     "Dying Aura"
"DOTA_Tooltip_ability_zombie_walking_aura_damage_Description"                                         "При включении наносит урон окружающим существам."
"DOTA_Tooltip_ability_zombie_walking_aura_damage_damage_per_second"                                   "УРОН В СЕКУНДУ:"
"DOTA_Tooltip_ability_zombie_walking_aura_damage_radius"                                              "РАДИУС:"

"DOTA_Tooltip_ability_zombie_walking_heal_for_death"                                                  "Zombie Army"
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_Description"                                      "Излечивается при смерти героев неподалеку."
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_heal_per_hero_death_pct"                          "%ЛЕЧЕНИЕ:"
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_radius"                                           "РАДИУС:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_creep_zombie_walking.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\map creeps\npc_aa_megacreep_beast.kv' begin 
"DOTA_Tooltip_ability_megacreep_beast_stomp"                                                          "Ancient Stomp"
"DOTA_Tooltip_ability_megacreep_beast_stomp_Description"                                              "Наносит урон и оглушает всех врагов находящихся перед зверем."
"DOTA_Tooltip_ability_megacreep_beast_stomp_radius"                                                   "РАДИУС:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_duration"                                                 "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_damage"                                                   "УРОН:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_damage_from_hp"                                           "УРОН ОТ ЗДОРОВЬЯ:"

"DOTA_Tooltip_ability_megacreep_beast_jump"                                                           "Ancient Jump"
"DOTA_Tooltip_ability_megacreep_beast_jump_Description"                                               "Прыгает к выбранной цели, нанося ей урон."
"DOTA_Tooltip_ability_megacreep_beast_jump_duration"                                                  "ДЛИТЕЛЬНОСТЬ ПРЫЖКА:"
"DOTA_Tooltip_ability_megacreep_beast_jump_damage"                                                    "УРОН:"
"DOTA_Tooltip_ability_megacreep_beast_jump_damage_from_hp"                                            "УРОН ОТ ЗДОРОВЬЯ:"

"DOTA_Tooltip_ability_megacreep_beast_haste"                                                          "Ancient Empower"
"DOTA_Tooltip_ability_megacreep_beast_haste_Description"                                              "Значительно увеличивает скорость передвижения всех окружающих союзников на небольшой срок."
"DOTA_Tooltip_ability_megacreep_beast_haste_duration"                                                 "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_megacreep_beast_haste_radius"                                                   "РАДИУС:"

"DOTA_Tooltip_ability_megacreep_beast_tail_stomp"                                                     "Ancient Tail Stomp"
"DOTA_Tooltip_ability_megacreep_beast_tail_stomp_Description"                                         "Наносит урон и оглушает всех врагов находящихся позади зверя."
