"lang"
{
	"Language"		"English"
"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify_damage_pct"                                      "%DAMAGE:"
"DOTA_Tooltip_ability_small_satyr_middle_dmg_amplify_radius"                                          "RADIUS:"

"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify"                                               "Magical Nature"
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_Description"                                   "Increase outcoming damage from abilities of selected unit."
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_duration"                                      "DURATION:"
"DOTA_Tooltip_ability_small_satyr_middle_magic_amplify_percent"                                       "%MAGICAL DAMAGE AMPLIFICATION:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_small_satyr_middle.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_spider_one.kv' begin 
"DOTA_Tooltip_ability_spider_one_grid"                                                                "Web"
"DOTA_Tooltip_ability_spider_one_grid_Description"                                                    "Throws a web to selected target."
"DOTA_Tooltip_ability_spider_one_grid_grid_speed"                                                     "PROJECTILE SPEED:"
"DOTA_Tooltip_ability_spider_one_grid_duration"                                                       "DURATION:"

"DOTA_Tooltip_ability_spider_one_poison"                                                              "Poison"
"DOTA_Tooltip_ability_spider_one_poison_Description"                                                  "Posion selected target dealing periodic damage."
"DOTA_Tooltip_ability_spider_one_poison_duration"                                                     "DURATION:"
"DOTA_Tooltip_ability_spider_one_poison_damage"                                                       "DAMAGE:"

"DOTA_Tooltip_ability_spider_one_passive"                                                             "Cross Walking"
"DOTA_Tooltip_ability_spider_one_passive_Description"                                                 "Spider can walk on any surfaces."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_spider_one.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_spider_two.kv' begin 
"DOTA_Tooltip_ability_spider_two_invis"                                                               "Invisiblity"
"DOTA_Tooltip_ability_spider_two_invis_Description"                                                   "Spiked turns into invisibility. Attack from invisibility deals additionsl magical damage and poison target."
"DOTA_Tooltip_ability_spider_two_invis_duration"                                                      "DURATION:"
"DOTA_Tooltip_ability_spider_two_invis_damage"                                                        "DAMAGE FROM INVISIBLITY:"
"DOTA_Tooltip_ability_spider_two_invis_damage_per_sec"                                                "POISON DAMAGE:"
"DOTA_Tooltip_ability_spider_two_invis_poison_duration"                                               "POISON DURATION"

"DOTA_Tooltip_ability_spider_two_aura"                                                                "Slowness Aura"
"DOTA_Tooltip_ability_spider_two_aura_Description"                                                    "Slow all nearby enemies."
"DOTA_Tooltip_ability_spider_two_aura_radius"                                                         "RADIUS:"
"DOTA_Tooltip_ability_spider_two_aura_move_slow"                                                      "%MOVEMENT SLOW:"

"DOTA_Tooltip_ability_spider_two_passive"                                                             "Cross Walking."
"DOTA_Tooltip_ability_spider_two_passive_Description"                                                 "Spider can walk on any surfaces."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_spider_two.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_windwing_big.kv' begin 
"DOTA_Tooltip_ability_windwing_big_cyclone_lua"                                                       "Cyclone"
"DOTA_Tooltip_ability_windwing_big_cyclone_lua_Description"                                           "Cyclone up selcted target into the air."
"DOTA_Tooltip_ability_windwing_big_cyclone_lua_duration"                                              "DURATION:"

"DOTA_Tooltip_ability_windwing_big_aura_lua"                                                          "Life Aura"
"DOTA_Tooltip_ability_windwing_big_aura_lua_Description"                                              "Arounding allies regenerate health when dealing damage."
"DOTA_Tooltip_ability_windwing_big_aura_lua_lifesteal"                                                "%LIFESTEAL:"
"DOTA_Tooltip_ability_windwing_big_aura_lua_radius"                                                   "RADIUS:"

"DOTA_Tooltip_ability_windwing_big_stun_lua"                                                          "Windrock"
"DOTA_Tooltip_ability_windwing_big_stun_lua_Description"                                              "Throws a projectile that deal damage and stuns enemy."
"DOTA_Tooltip_ability_windwing_big_stun_lua_duration"                                                 "STUN DURATION:"
"DOTA_Tooltip_ability_windwing_big_stun_lua_damage"                                                   "DAMAGE:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_windwing_big.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_windwing_small.kv' begin 
"DOTA_Tooltip_ability_windwing_small_aura_lua"                                                        "Wind Armor"
"DOTA_Tooltip_ability_windwing_small_aura_lua_Description"                                            "Increase armor and attack speed of nearby allies."
"DOTA_Tooltip_ability_windwing_small_aura_lua_aura_radius"                                            "RADIUS:"
"DOTA_Tooltip_ability_windwing_small_aura_lua_bonus_attack_speed"                                     "ATTACK SPEED:"
"DOTA_Tooltip_ability_windwing_small_aura_lua_bonus_armor"                                            "ARMOR:"

"DOTA_Tooltip_ability_windwing_small_blink_lua"                                                       "Blink"
"DOTA_Tooltip_ability_windwing_small_blink_lua_Description"                                           "Teleports to selected point."
"DOTA_Tooltip_ability_windwing_small_blink_lua_blink_range"                                           "RANGE:"

"DOTA_Tooltip_ability_windwing_small_heal_lua"                                                        "Heal of Nature"
"DOTA_Tooltip_ability_windwing_small_heal_lua_Description"                                            "Heals selected target."
"DOTA_Tooltip_ability_windwing_small_heal_lua_heal"                                                   "HEAL:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_windwing_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_wolf_big.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua"                                          "Wolf Rage"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_Description"                              "Increase wolf outcomign damage for a short time."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_bonus_all_damage_pct"                     "%DAMAGE INCREASING:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_buff_damage_lua_duration"                                 "DURATION:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua"                                                 "Wolf Bite"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_Description"                                     "Wolf Bites sleected target, dealing damage and slows target movementspeed."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_damage"                                          "DAMAGE:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_slow_pct"                                        "%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_bite_lua_duration"                                        "DURATION:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua"                                          "Wolf Aura"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_Description"                              "Increase arounding heroes outcoming damage."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_bonus_dmg"                                "BONUS DAMAGE:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_big_damage_aura_lua_radius"                                   "RADIUS:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_wolf_big.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_wolf_small.kv' begin 
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua"                                         "Wolf Vision"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_Description"                             "Wolf have fixed vision for a day and night."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_day_vision"                              "DAY VISION:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_all_vision_lua_night_vision"                            "NIGHT VISION:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua"                                           "Vamprie Aura"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_Description"                               "All around allies heals when dealing damage."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_radius"                                    "RADIUS:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_vam_aura_lua_lifesteal"                                 "LIFESTEAL:"

"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua"                                               "Wolf Claws"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_Description"                                   "Allow selected unit to deal critical damage."
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_duration"                                      "DURATION:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_crit_chance"                                   "%CRIT CHANCE:"
"DOTA_Tooltip_ability_npc_aa_creep_wolf_small_crit_lua_crit_damage"                                   "%CRIT DAMAGE:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_wolf_small.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_zombie_lying.kv' begin 
"DOTA_Tooltip_ability_zombie_lying_passive_slow"                                                      "Slowness"
"DOTA_Tooltip_ability_zombie_lying_passive_slow_Description"                                          "Slow selected target on attack."
"DOTA_Tooltip_ability_zombie_lying_passive_slow_slow_pct"                                             "%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_zombie_lying_passive_slow_duration"                                             "DURATION:"

"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed"                                           "Death March"
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_Description"                               "Increases movement speed when health is lower then thresshold."
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_need_hp_pct"                               "%HEALTH THRESSHOLD:"
"DOTA_Tooltip_ability_zombie_lying_passive_boost_movespeed_bonus_movespeed_pct"                       "%BONUS MOVEMENT SPEED:"

"DOTA_Tooltip_ability_zombie_walking_jump"                                                            "Cloud Zombie"
"DOTA_Tooltip_ability_zombie_walking_jump_Description"                                                "Jumps and dealing damage to selected target."
"DOTA_Tooltip_ability_zombie_walking_jump_damage"                                                     "DAMAGE:"
"DOTA_Tooltip_ability_zombie_walking_jump_speed"                                                      "SPEED:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_zombie_lying.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_zombie_walking.kv' begin 
"DOTA_Tooltip_ability_zombie_walking_devouring"                                                       "Devouring"
"DOTA_Tooltip_ability_zombie_walking_devouring_Description"                                           "Zombie devours selected target, thats stun target and deal damage."
"DOTA_Tooltip_ability_zombie_walking_devouring_damage"                                                "DAMAGE:"
"DOTA_Tooltip_ability_zombie_walking_devouring_interval"                                              "INTERVAL:"

"DOTA_Tooltip_ability_zombie_walking_aura_damage"                                                     "Dying Aura"
"DOTA_Tooltip_ability_zombie_walking_aura_damage_Description"                                         "Dealing damage to around creatures on activate."
"DOTA_Tooltip_ability_zombie_walking_aura_damage_damage_per_second"                                   "DAMAGE PER SEC:"
"DOTA_Tooltip_ability_zombie_walking_aura_damage_radius"                                              "RADIUS:"

"DOTA_Tooltip_ability_zombie_walking_heal_for_death"                                                  "Zombie Army"
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_Description"                                      "Heal himself when heroes dies around."
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_heal_per_hero_death_pct"                          "%HEAL:"
"DOTA_Tooltip_ability_zombie_walking_heal_for_death_radius"                                           "RADIUS:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_creep_zombie_walking.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_beast.kv' begin 
"DOTA_Tooltip_ability_megacreep_beast_stomp"                                                          "Ancient Stomps"
"DOTA_Tooltip_ability_megacreep_beast_stomp_Description"                                              "Stuns and deal damage to enemies in front of the Beast."
"DOTA_Tooltip_ability_megacreep_beast_stomp_radius"                                                   "RADIUS:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_duration"                                                 "STUN DURATION:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_damage"                                                   "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_beast_stomp_damage_from_hp"                                           "DAMAGE FROM HEALTH:"

"DOTA_Tooltip_ability_megacreep_beast_jump"                                                           "Ancient Jump"
"DOTA_Tooltip_ability_megacreep_beast_jump_Description"                                               "Jumps and deal damage to the target."
"DOTA_Tooltip_ability_megacreep_beast_jump_duration"                                                  "DURATION:"
"DOTA_Tooltip_ability_megacreep_beast_jump_damage"                                                    "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_beast_jump_damage_from_hp"                                            "DAMAGE FROM HEALTH:"

"DOTA_Tooltip_ability_megacreep_beast_haste"                                                          "Ancient Empower"
"DOTA_Tooltip_ability_megacreep_beast_haste_Description"                                              "Increase movement speed of arounding allies for a while."
"DOTA_Tooltip_ability_megacreep_beast_haste_duration"                                                 "DURATION:"
"DOTA_Tooltip_ability_megacreep_beast_haste_radius"                                                   "RADIUS:"

"DOTA_Tooltip_ability_megacreep_beast_tail_stomp"                                                     "Ancient Tail Stomp"
"DOTA_Tooltip_ability_megacreep_beast_tail_stomp_Description"                                         "Stuns and deal damage to enemies behind of the Beast."
"DOTA_Tooltip_ability_megacreep_beast_tail_stomp_radius"                                              "RADIUS:"
"DOTA_Tooltip_ability_megacreep_beast_tail_stomp_damage"                                              "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_beast_tail_stomp_damage_from_hp"                                      "DAMAGE FROM HEALTH:"

"DOTA_Tooltip_ability_megacreep_beast_life_drain"                                                     "Ancient Consumption"
"DOTA_Tooltip_ability_megacreep_beast_life_drain_Description"                                         "Stealing life from selected unit."
"DOTA_Tooltip_ability_megacreep_beast_life_drain_range"                                               "RANGE:"
"DOTA_Tooltip_ability_megacreep_beast_life_drain_duration"                                            "DURATION:"
"DOTA_Tooltip_ability_megacreep_beast_life_drain_damage"                                              "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_beast_life_drain_damage_from_hp"                                      "DAMGE FROM HEALTH:"

"DOTA_Tooltip_ability_megacreep_beast_bonus_attackspeed"                                              "Ancient Attacks"
"DOTA_Tooltip_ability_megacreep_beast_bonus_attackspeed_Description"                                  "Increase attack speed for a short time."
"DOTA_Tooltip_ability_megacreep_beast_bonus_attackspeed_attackspeed"                                  "BONUS ATTACK SPEED:"
"DOTA_Tooltip_ability_megacreep_beast_bonus_attackspeed_duration"                                     "DURATION "


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_beast.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_energy_creature.kv' begin 
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast"						"Skockblast"
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast_Description"			"Launch shock blast to selected target that stuns enemy and deal some damage."
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast_abilityduration"		"STUN DURATION:"
"DOTA_Tooltip_ability_megacreep_energy_creature_shock_blast_projectile_speed"		"PROJECTILE SPEED:"

"DOTA_Tooltip_ability_megacreep_energy_creature_flash"								"Flash"
"DOTA_Tooltip_ability_megacreep_energy_creature_flash_Description"					"Moving to selecting point.."
"DOTA_Tooltip_ability_megacreep_energy_creature_flash_abilitycastrange"				"RANGE:"
"DOTA_Tooltip_ability_megacreep_energy_creature_flash_speed"						"SPEED:"

"DOTA_Tooltip_ability_megacreep_energy_creature_buff"								"Electrolize"
"DOTA_Tooltip_ability_megacreep_energy_creature_buff_Description"					"Increase damage resistance for every nearby ally."
"DOTA_Tooltip_ability_megacreep_energy_creature_buff_abilityduration"				"DURATION:"
"DOTA_Tooltip_ability_megacreep_energy_creature_buff_abilitycastrange"				"RADIUS:"
"DOTA_Tooltip_ability_megacreep_energy_creature_buff_resist_per_hero"				"%DAMAGE RESISTANCE:"

"DOTA_Tooltip_ability_megacreep_energy_creature_passive"							"Focused Attack"
"DOTA_Tooltip_ability_megacreep_energy_creature_passive_Description"				"After several attacks Energy Creature charge himself attack that deal additional pure damage same like normal attack damage."
"DOTA_Tooltip_ability_megacreep_energy_creature_passive_attack_count"				"CHARGE ATTACK COUNT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_energy_creature.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_golem.kv' begin 
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball"                                               "Golem Fireball"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_Description"                                   "Golem launch a fireball to selected unit."
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_fireball_speed"                                "FIREBALL SPEED:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fireball_fireball_damage"                               "FIREBALL DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist"                                              "Golem Firefist"
"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist_Description"                                  "Deals additional magical damage with every attack."
"DOTA_Tooltip_ability_megacreep_ancient_golem_fire_fist_hit_damage"                                   "DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close"                                             "Golem Firehell"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_Description"                                 "Deals damage to all arounding enemies for every second."
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_radius"                                      "RADIUS:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_duration"                                    "DURATION:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_tickrate"                                    "INTERVAL:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_close_TotalDmg"                                    "DAMAGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far"                                               "Golem Firebreath"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_Description"                                   "Launch fire wave that deal damage to all enemies on contact."
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_contact_damage"                                "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_wave_speed"                                    "WAVE SPEED:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_wave_width"                                    "WAVE WIDTH"
"DOTA_Tooltip_ability_megacreep_ancient_golem_burn_far_distance"                                      "WAVE RANGE:"

"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain"                                            "Golem Hellrain"
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_Description"                                "Abyss Golem launch hellrain from a skies that deal massive damage to all units around selected point."
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_damage"                                     "DAMAGE:"
"DOTA_Tooltip_ability_megacreep_ancient_golem_meteor_rain_radius"                                     "RADIUS:"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\map creeps\npc_aa_megacreep_golem.kv' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\gui\repick_menu.txt' begin 
"AA_REPICK_MENU_PICK_GOD"							"CHANGE HERO"
"AA_REPICK_MENU_ALREADY_PICKED"						"HERO ALREADY PICKED"
"AA_REPICK_MENU_NO_SHARD"							"NO MATCHED SHARD"
"AA_REPICK_MENU_DUEL_SOON"							"DUEL WILL BE SOON"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\gui\repick_menu.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\abaddon.txt' begin 
"DOTA_Tooltip_ability_abaddon_death_coil_percent"					"%DAMAGE/HEAL FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\abaddon.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' begin 
"DOTA_Tooltip_ability_ancient_apparition_cold_feet_damage_pct"			"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\axe.txt' begin 
"DOTA_Tooltip_ability_axe_counter_helix_Description"				"When attacked, Axe performs a helix counter attack, dealing damage to all nearby enemies. This ability applies base attack damage to every units that it hits.\nPassively increases the base attack damage of Axe."
"DOTA_Tooltip_ability_axe_counter_helix_damage_from_attack"			"DAMAGE FROM ATTACK:"
"DOTA_Tooltip_ability_axe_battle_hunger_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_axe_culling_blade_hp_limit"					"%HP THRESHOLD:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\axe.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bane.txt' begin 
"DOTA_Tooltip_ability_bane_brain_sap_brain_sap_heal_pct"			"%DAMAGE/HEAL FROM INTELLECT:"
"DOTA_Tooltip_ability_bane_enfeeble_damage_decrease"						"%DAMAGE DECREASING:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bane.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\batrider.txt' begin 
"DOTA_Tooltip_ability_batrider_firefly_damage_pct"				"%DAMAGE FROM INT:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\batrider.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\beastmaster.txt' begin 
"DOTA_Tooltip_ability_beastmaster_primal_roar_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_beastmaster_wild_axes_damage_pct"				"%DAMAGE FROM STR(MAGICAL):"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\beastmaster.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' begin 
"DOTA_Tooltip_ability_bounty_hunter_shuriken_toss_damage_pct"		"%DAMAGE FROM AGI:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\brewmaster.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\brewmaster.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bristleback.txt' begin 
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str"		"MULTIPLER BY STRENGTH:"
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str_hero"	"MULTIPLER BY STRENGTH FOR HEROES:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\bristleback.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\centaur.txt' begin 
"DOTA_Tooltip_ability_centaur_double_edge_edge_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_centaur_hoof_stomp_damage_pct"				"%DAMAGE FROM STR:"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\centaur.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\heroes\charon.txt' begin 

"DOTA_Tooltip_ability_charon_soul_drain"							"Soul Drain"
"DOTA_Tooltip_ability_charon_soul_drain_Description"				"Charon stuns and steals mana from enemy. When mana ends Charon starts stealing health from unit.\nWhen owner has a <b><font color='#af72cd'>Charon's Scepter</font></b> or <b><font color='#1a887d'>Void Scepter</font></b>, stealed mana and health will be restored to ability owner."
"DOTA_Tooltip_ability_charon_soul_drain_range_tooltip"				"RANGE:"
"DOTA_Tooltip_ability_charon_soul_drain_duration_tooltip"			"DURATION:"
"DOTA_Tooltip_ability_charon_soul_drain_manaburn_tooltip"			"MANA PER SEC:"
"DOTA_Tooltip_ability_charon_soul_drain_manaburn_pct_tooltip"	    "%MANA PER SEC%:"
"DOTA_Tooltip_ability_charon_soul_drain_damage_tooltip"				"HEALTH PER SEC:"
"DOTA_Tooltip_modifier_charon_soul_drain"	                        "Stunned"

"DOTA_Tooltip_ability_charon_last_word"							    "Last Word"
"DOTA_Tooltip_ability_charon_last_word_Description"				    "All enemies in radius will be slowed."
"DOTA_Tooltip_ability_charon_last_word_radius"				        "RADIUS:"
"DOTA_Tooltip_ability_charon_last_word_slow_for_mana_pct"		    "%SLOW BY MANA PERCENTAGE:"
"DOTA_Tooltip_modifier_charon_last_word_aura_effect"		        "Slow"

"DOTA_Tooltip_ability_charon_overload"							    "Overload"
"DOTA_Tooltip_ability_charon_overload_Description"				    "Hero release a soul to target that deal damage that depends of Charon manapool. Ability manacost depends on manapool of Charon."
"DOTA_Tooltip_ability_charon_overload_damage_constant"				"DAMAGE:"
"DOTA_Tooltip_ability_charon_overload_damage_for_mana_pct"		    "%DAMAGE FROM MANA:"
"DOTA_Tooltip_ability_charon_overload_mana_cost_pct"		        "%MANACOST:"

"DOTA_Tooltip_ability_charon_collapse"							    "Collapse"
"DOTA_Tooltip_ability_charon_collapse_Description"				    "Charon collapse and pulls all enemies to himself, stealing mana that depends of distnace between enemy and Charon. After collapsing Charon knockback all enemies and deal damage that depends of stealed mana."
"DOTA_Tooltip_ability_charon_collapse_radius"				        "PULL RADIUS:"
"DOTA_Tooltip_ability_charon_collapse_duration_inside"				"PULL DURATION:"
"DOTA_Tooltip_ability_charon_collapse_manaburn_min"		            "MANA BURN MIN:"
"DOTA_Tooltip_ability_charon_collapse_manaburn_max"		            "MANA BURN MAX:"
"DOTA_Tooltip_ability_charon_collapse_damage_per_mana_burn"		    "DAMAGE FROM STEALED MANA::"
"DOTA_Tooltip_ability_charon_collapse_radius_out"		            "KNOCKBACK RADIUS:"
"DOTA_Tooltip_modifier_charon_collapse_in_caster"		            "Collapse"
"DOTA_Tooltip_ability_charon_collapse_Note0"		                "Pulls and knockback spellimmune emeies, but doesn't steal mana and doesn't deal damage to them."
"DOTA_Tooltip_modifier_charon_collapse_inside"		                "Pulled by Charon"	

"DOTA_Tooltip_ability_charon_soul_drain_cast_time_fast_bonus_const_tallent"               "+1.5sec. to Soul Drain duration."
"DOTA_Tooltip_ability_charon_last_word_bonus_slow_per_mana_tallent"                       "+0.2 slow for mana percent for Last Word"
"DOTA_Tooltip_ability_charon_overload_manacost_reduction_percent_tallent"                 "Astral Loop"
